name,side,definition,n_train,wr_train,roi_train,n_oos,wr_oos,avg_cote_oos,roi_oos
"H1 D MS_late cote[2.9,3.2)",D,"bet DRAW: odds_draw in [2.9,3.2) AND segment=MS_late",24,0.3333333333333333,0.019583333333333324,12,0.3333333333333333,3.1074999999999995,0.029166666666666674
"H1 D FS cote[2.9,3.2)",D,"bet DRAW: odds_draw in [2.9,3.2) AND segment=FS",7,0.5714285714285714,0.7785714285714286,3,0.0,3.1366666666666667,-1.0
"H1 D ALL cote[2.9,3.2)",D,"bet DRAW: odds_draw in [2.9,3.2)",95,0.3368421052631579,0.040315789473684194,50,0.3,3.0989999999999998,-0.0748
"H1 D DS cote[3.2,3.6)",D,"bet DRAW: odds_draw in [3.2,3.6) AND segment=DS",75,0.24,-0.16626666666666667,23,0.30434782608695654,3.430869565217392,0.026086956521739136
"H1 D MS_early cote[3.2,3.6)",D,"bet DRAW: odds_draw in [3.2,3.6) AND segment=MS_early",174,0.23563218390804597,-0.18902298850574714,80,0.3125,3.4396249999999995,0.07625000000000004
"H1 D MS_mid cote[3.2,3.6)",D,"bet DRAW: odds_draw in [3.2,3.6) AND segment=MS_mid",237,0.25738396624472576,-0.11721518987341772,113,0.19469026548672566,3.4297345132743358,-0.34424778761061947
"H1 D MS_late cote[3.2,3.6)",D,"bet DRAW: odds_draw in [3.2,3.6) AND segment=MS_late",148,0.3310810810810811,0.1437162162162162,66,0.24242424242424243,3.4515151515151516,-0.15863636363636363
"H1 D FS cote[3.2,3.6)",D,"bet DRAW: odds_draw in [3.2,3.6) AND segment=FS",73,0.2602739726027397,-0.1043835616438356,19,0.2631578947368421,3.4194736842105264,-0.10157894736842103
"H1 D ALL cote[3.2,3.6)",D,"bet DRAW: odds_draw in [3.2,3.6)",707,0.26591230551626593,-0.08414427157001415,301,0.24916943521594684,3.4365780730897004,-0.14817275747508304
"H1 D DS cote[3.6,4.5)",D,"bet DRAW: odds_draw in [3.6,4.5) AND segment=DS",186,0.16666666666666666,-0.33779569892473116,73,0.273972602739726,3.976986301369863,0.0924657534246575
"H1 D MS_early cote[3.6,4.5)",D,"bet DRAW: odds_draw in [3.6,4.5) AND segment=MS_early",489,0.23721881390593047,-0.05738241308793455,201,0.26865671641791045,3.982985074626866,0.05442786069651739
"H1 D MS_mid cote[3.6,4.5)",D,"bet DRAW: odds_draw in [3.6,4.5) AND segment=MS_mid",706,0.2237960339943343,-0.11685552407932011,299,0.23411371237458195,3.987959866220736,-0.0820401337792642
"H1 D MS_late cote[3.6,4.5)",D,"bet DRAW: odds_draw in [3.6,4.5) AND segment=MS_late",391,0.23017902813299232,-0.0820460358056266,219,0.1872146118721461,3.952054794520548,-0.26602739726027397
"H1 D FS cote[3.6,4.5)",D,"bet DRAW: odds_draw in [3.6,4.5) AND segment=FS",176,0.30113636363636365,0.19613636363636366,43,0.23255813953488372,3.9879069767441857,-0.07883720930232556
"H1 D ALL cote[3.6,4.5)",D,"bet DRAW: odds_draw in [3.6,4.5)",1948,0.2299794661190965,-0.08775667351129363,835,0.23353293413173654,3.9763832335329337,-0.0820239520958084
"H1 D DS cote[4.5,9.5)",D,"bet DRAW: odds_draw in [4.5,9.5) AND segment=DS",132,0.14393939393939395,-0.1971969696969697,40,0.125,5.5962499999999995,-0.2855
"H1 D MS_early cote[4.5,9.5)",D,"bet DRAW: odds_draw in [4.5,9.5) AND segment=MS_early",327,0.19877675840978593,0.048593272171253844,130,0.16923076923076924,5.638846153846154,-0.12384615384615383
"H1 D MS_mid cote[4.5,9.5)",D,"bet DRAW: odds_draw in [4.5,9.5) AND segment=MS_mid",430,0.1813953488372093,0.006534883720930255,213,0.15023474178403756,5.5102347417840365,-0.19154929577464788
"H1 D MS_late cote[4.5,9.5)",D,"bet DRAW: odds_draw in [4.5,9.5) AND segment=MS_late",250,0.176,-0.06548,125,0.16,5.693759999999999,-0.15896000000000002
"H1 D FS cote[4.5,9.5)",D,"bet DRAW: odds_draw in [4.5,9.5) AND segment=FS",135,0.2074074074074074,0.1100740740740741,31,0.0967741935483871,5.858064516129032,-0.36870967741935484
"H1 D ALL cote[4.5,9.5)",D,"bet DRAW: odds_draw in [4.5,9.5)",1274,0.1836734693877551,-0.006938775510204084,539,0.15213358070500926,5.610204081632652,-0.18482374768089055
"H2 H value edge>=0.05 cote[2.0,6.0)",H,"bet HOME: odds_home in [2.0,6.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.05",634,0.3264984227129338,0.0031072555205047246,243,0.35802469135802467,3.4066255144032924,0.13057613168724277
"H2 A value edge>=0.05 cote[2.0,6.0)",A,"bet AWAY: odds_away in [2.0,6.0) AND (train_away_WR(team_b) - 1/odds_away) >= 0.05",497,0.29979879275653926,0.10925553319919516,228,0.24561403508771928,4.058596491228069,-0.06219298245614035
"H2 H value edge>=0.1 cote[2.0,6.0)",H,"bet HOME: odds_home in [2.0,6.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.1",450,0.30444444444444446,0.03519999999999998,175,0.36,3.6710857142857147,0.2190285714285714
"H2 A value edge>=0.1 cote[2.0,6.0)",A,"bet AWAY: odds_away in [2.0,6.0) AND (train_away_WR(team_b) - 1/odds_away) >= 0.1",263,0.2509505703422053,0.02307984790874526,129,0.21705426356589147,4.254418604651162,-0.14170542635658914
"H2 H value edge>=0.15 cote[2.0,6.0)",H,"bet HOME: odds_home in [2.0,6.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.15",344,0.27906976744186046,-0.01531976744186046,136,0.3602941176470588,3.7942647058823527,0.26433823529411765
"H2 A value edge>=0.15 cote[2.0,6.0)",A,"bet AWAY: odds_away in [2.0,6.0) AND (train_away_WR(team_b) - 1/odds_away) >= 0.15",126,0.23015873015873015,-0.08333333333333333,62,0.1774193548387097,4.44258064516129,-0.28241935483870967
"H2 H segdelta>=0.08 cote[2.0,6.0)",H,"bet HOME: odds_home in [2.0,6.0) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.08 (n_seg>=8)",96,0.5625,0.6307291666666667,36,0.4166666666666667,3.053333333333333,0.14
"H2 A segdelta>=0.08 cote[2.0,6.0)",A,"bet AWAY: odds_away in [2.0,6.0) AND train (away_WR_segment - away_WR_global)(team_b) >= 0.08 (n_seg>=8)",176,0.42613636363636365,0.4121590909090909,70,0.24285714285714285,3.6807142857142856,-0.20214285714285718
"H2 H segdelta>=0.12 cote[2.0,6.0)",H,"bet HOME: odds_home in [2.0,6.0) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.12 (n_seg>=8)",72,0.6111111111111112,0.6779166666666667,24,0.4583333333333333,2.8550000000000004,0.20999999999999996
"H2 A segdelta>=0.12 cote[2.0,6.0)",A,"bet AWAY: odds_away in [2.0,6.0) AND train (away_WR_segment - away_WR_global)(team_b) >= 0.12 (n_seg>=8)",82,0.45121951219512196,0.5054878048780488,34,0.17647058823529413,3.927058823529412,-0.3905882352941177
"H2 H value edge>=0.05 cote[2.0,3.0)",H,"bet HOME: odds_home in [2.0,3.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.05",316,0.41139240506329117,-0.0036392405063291264,113,0.45132743362831856,2.4439823008849566,0.10053097345132744
"H2 A value edge>=0.05 cote[2.0,3.0)",A,"bet AWAY: odds_away in [2.0,3.0) AND (train_away_WR(team_b) - 1/odds_away) >= 0.05",113,0.415929203539823,0.05159292035398233,47,0.2765957446808511,2.6034042553191497,-0.2895744680851064
"H2 H value edge>=0.1 cote[2.0,3.0)",H,"bet HOME: odds_home in [2.0,3.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.1",159,0.4025157232704403,0.006226415094339624,59,0.5084745762711864,2.4977966101694915,0.27440677966101695
"H2 A value edge>=0.1 cote[2.0,3.0)",A,"bet AWAY: odds_away in [2.0,3.0) AND (train_away_WR(team_b) - 1/odds_away) >= 0.1",48,0.2708333333333333,-0.23979166666666665,27,0.2962962962962963,2.738148148148149,-0.2051851851851852
"H2 H value edge>=0.15 cote[2.0,3.0)",H,"bet HOME: odds_home in [2.0,3.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.15",97,0.38144329896907214,-0.05618556701030931,36,0.5555555555555556,2.4869444444444446,0.38250000000000006
"H2 A value edge>=0.15 cote[2.0,3.0)",A,"bet AWAY: odds_away in [2.0,3.0) AND (train_away_WR(team_b) - 1/odds_away) >= 0.15",45,0.26666666666666666,-0.24422222222222223,21,0.23809523809523808,2.8471428571428574,-0.3085714285714286
"H2 H segdelta>=0.08 cote[2.0,3.0)",H,"bet HOME: odds_home in [2.0,3.0) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.08 (n_seg>=8)",69,0.5797101449275363,0.37666666666666665,22,0.5,2.355909090909091,0.16909090909090907
"H2 A segdelta>=0.08 cote[2.0,3.0)",A,"bet AWAY: odds_away in [2.0,3.0) AND train (away_WR_segment - away_WR_global)(team_b) >= 0.08 (n_seg>=8)",65,0.5230769230769231,0.30646153846153845,21,0.3333333333333333,2.567619047619048,-0.12761904761904763
"H2 H segdelta>=0.12 cote[2.0,3.0)",H,"bet HOME: odds_home in [2.0,3.0) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.12 (n_seg>=8)",57,0.6140350877192983,0.451578947368421,18,0.5,2.354444444444445,0.18388888888888888
"H2 A segdelta>=0.12 cote[2.0,3.0)",A,"bet AWAY: odds_away in [2.0,3.0) AND train (away_WR_segment - away_WR_global)(team_b) >= 0.12 (n_seg>=8)",32,0.5,0.19374999999999998,11,0.18181818181818182,2.467272727272727,-0.5499999999999999
"H2 H value edge>=0.05 cote[3.0,6.0)",H,"bet HOME: odds_home in [3.0,6.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.05",318,0.24213836477987422,0.009811320754716973,130,0.27692307692307694,4.243384615384615,0.1566923076923077
"H2 A value edge>=0.05 cote[3.0,6.0)",A,"bet AWAY: odds_away in [3.0,6.0) AND (train_away_WR(team_b) - 1/odds_away) >= 0.05",384,0.265625,0.12622395833333333,181,0.23756906077348067,4.43646408839779,-0.003149171270718224
"H2 H value edge>=0.1 cote[3.0,6.0)",H,"bet HOME: odds_home in [3.0,6.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.1",291,0.2508591065292096,0.05103092783505156,116,0.28448275862068967,4.267844827586207,0.19086206896551725
"H2 A value edge>=0.1 cote[3.0,6.0)",A,"bet AWAY: odds_away in [3.0,6.0) AND (train_away_WR(team_b) - 1/odds_away) >= 0.1",215,0.24651162790697675,0.08176744186046513,102,0.19607843137254902,4.65578431372549,-0.12490196078431375
"H2 H value edge>=0.15 cote[3.0,6.0)",H,"bet HOME: odds_home in [3.0,6.0) AND (train_home_WR(team_a) - 1/odds_home) >= 0.15",247,0.2388663967611336,0.0007287449392712395,100,0.29,4.2649,0.2218
"H2 A value edge>=0.15 cote[3.0,6.0)",A,"bet AWAY: odds_away in [3.0,6.0) AND (train_away_WR(team_b) - 1/odds_away) >= 0.15",81,0.20987654320987653,0.006049382716049385,41,0.14634146341463414,5.259756097560976,-0.26902439024390246
"H2 H segdelta>=0.08 cote[3.0,6.0)",H,"bet HOME: odds_home in [3.0,6.0) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.08 (n_seg>=8)",27,0.5185185185185185,1.28,14,0.2857142857142857,4.149285714285715,0.09428571428571428
"H2 A segdelta>=0.08 cote[3.0,6.0)",A,"bet AWAY: odds_away in [3.0,6.0) AND train (away_WR_segment - away_WR_global)(team_b) >= 0.08 (n_seg>=8)",111,0.36936936936936937,0.47405405405405404,49,0.20408163265306123,4.1577551020408166,-0.2340816326530612
"H2 H segdelta>=0.12 cote[3.0,6.0)",H,"bet HOME: odds_home in [3.0,6.0) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.12 (n_seg>=8)",15,0.6,1.538,6,0.3333333333333333,4.3566666666666665,0.28833333333333333
