cond,cval,mkt,sel,n_tr,wr_tr,roi_tr,n_oos,wr_oos,avg_cote,roi_oos,wins_oos,roi_h1,roi_h2
profxseg,home_slight|MS_late,G/NG equipe domicile,Oui,249,0.8835341365461847,-0.011847389558232913,131,0.8702290076335878,1.1255725190839694,-0.02236641221374044,114,-0.043773584905660363,-0.007820512820512807
profxseg,home_strong|DS,G/NG equipe extérieur,Non,79,0.4936708860759494,0.2417721518987341,32,0.375,2.5612500000000002,-0.0325,12,0.31000000000000005,-0.375
favxseg,Hfav<1.6|DS,G/NG equipe extérieur,Non,79,0.4936708860759494,0.2417721518987341,32,0.375,2.5612500000000002,-0.0325,12,0.31000000000000005,-0.375
profxseg,away_slight|MS_early,+/-,> 3.5,140,0.42857142857142855,0.30357142857142855,59,0.3220338983050847,3.0430508474576268,-0.03491525423728815,19,0.09785714285714286,-0.15483870967741933
profxseg,home_crush|MS_mid,G/NG equipe domicile,Oui,93,0.978494623655914,-0.004193548387096759,36,0.9444444444444444,1.0205555555555554,-0.03638888888888887,34,-0.019599999999999982,-0.07454545454545453
favxseg,Hfav<1.3|MS_mid,G/NG equipe domicile,Oui,93,0.978494623655914,-0.004193548387096759,36,0.9444444444444444,1.0205555555555554,-0.03638888888888887,34,-0.019599999999999982,-0.07454545454545453
favxseg,nofav|DS,G/NG equipe extérieur,Oui,239,0.803347280334728,0.01828451882845188,90,0.7555555555555555,1.2741111111111112,-0.03699999999999999,68,0.03543478260869565,-0.1127272727272727
profxseg,other|MS_early,Les deux équipes marquent / 1ère mi temps,Oui,153,0.30718954248366015,0.14424836601307184,77,0.2597402597402597,3.835714285714286,-0.03766233766233762,20,0.27731707317073173,-0.3963888888888889
profxseg,away_strong|MS_mid,Minute du premier but,16-30,97,0.3917525773195876,0.11556701030927836,51,0.3333333333333333,2.868039215686274,-0.043137254901960756,17,-0.4465384615384616,0.3764
favxseg,Afav<1.6|MS_mid,Minute du premier but,16-30,97,0.3917525773195876,0.11556701030927836,51,0.3333333333333333,2.868039215686274,-0.043137254901960756,17,-0.4465384615384616,0.3764
profxseg,other|MS_early,+/-,> 3.5,171,0.38011695906432746,0.10888888888888887,77,0.33766233766233766,3.155324675324675,-0.04597402597402598,26,0.18804878048780485,-0.3125
profxseg,away_slight|DS,G/NG equipe extérieur,Oui,49,0.8979591836734694,0.016326530612244903,20,0.85,1.124,-0.04599999999999995,17,0.005555555555555585,-0.08818181818181813
profxseg,other|MS_mid,G/NG equipe domicile,Oui,259,0.8185328185328186,-0.0007335907335907505,108,0.7777777777777778,1.2334259259259257,-0.04648148148148149,84,-0.026440677966101698,-0.0706122448979592
favxseg,nofav|DS,Multi-Buts,Le total de buts est supérieur à 4,239,0.17573221757322174,0.18573221757322175,90,0.13333333333333333,7.481666666666667,-0.047111111111111124,12,-0.0502173913043478,-0.043863636363636334
favxseg,Hfav<1.6|FS,Total de buts,4,88,0.2840909090909091,0.18977272727272732,17,0.23529411764705882,4.229411764705882,-0.04764705882352939,4,-0.15,0.0985714285714285
profxseg,home_strong|FS,Total de buts,4,88,0.2840909090909091,0.18977272727272732,17,0.23529411764705882,4.229411764705882,-0.04764705882352939,4,-0.15,0.0985714285714285
profxseg,away_slight|FS,G/NG equipe extérieur,Oui,51,0.8823529411764706,0.0015686274509803804,6,0.8333333333333334,1.13,-0.053333333333333344,5,-0.44999999999999996,0.14499999999999996
profxseg,other|DS,+/-,> 3.5,70,0.38571428571428573,0.201,27,0.25925925925925924,3.447407407407408,-0.05333333333333335,7,-0.2241666666666667,0.08333333333333333
profxobin,"away_slight|[1.0,1.3)",G/NG equipe domicile,Oui,88,0.8181818181818182,0.018181818181818184,46,0.7608695652173914,1.2482608695652175,-0.05369565217391305,35,-0.06291666666666666,-0.04363636363636363
