segment,team_a,team_b,journee,odds_h,odds_a,pick,cote,strength,actual,won,roi,n_supporting
MS_early,C. Palace,London Reds,11,5.26,1.65,1,5.26,0.448,1,True,4.26,1
MS_early,London Reds,Bournemouth,12,1.28,8.46,2,8.46,0.5,1,False,-1.0,1
FS,Manchester Red,Spurs,34,1.98,3.25,2,3.25,1.0,X,False,-1.0,1
FS,Sunderland,N. Forest,34,4.34,1.76,1,4.34,0.99,1,True,3.34,2
FS,Burnley,London Reds,35,9.71,1.34,1,9.71,0.544,1,True,8.71,1
FS,Spurs,Leeds,35,1.32,8.57,1,1.32,1.0,1,True,0.32000000000000006,1
FS,Leeds,West Ham,37,4.07,1.79,1,4.07,0.44,1,True,3.0700000000000003,1
FS,Spurs,London Reds,37,4.41,1.68,1,4.41,1.44,1,True,3.41,2
FS,Burnley,Sunderland,37,2.56,2.65,2,2.65,0.55,X,False,-1.0,1
FS,Liverpool,C. Palace,37,1.33,8.78,2,8.78,1.0,1,False,-1.0,1
FS,London Blues,N. Forest,37,1.46,6.41,1,1.46,0.65,1,True,0.45999999999999996,1
DS,Liverpool,London Blues,1,1.36,7.6,2,7.6,0.8,1,False,-1.0,1
DS,Wolverhampton,West Ham,1,2.14,3.17,2,3.17,1.0,1,False,-1.0,1
DS,Sunderland,A. Villa,1,6.09,1.53,2,1.53,1.0,2,True,0.53,1
DS,Burnley,West Ham,3,2.66,2.54,2,2.54,1.0,1,False,-1.0,1
DS,N. Forest,Brighton,3,2.24,2.84,1,2.24,0.656,2,False,-1.0,1
DS,Manchester Red,A. Villa,3,1.78,4.29,2,4.29,0.472,1,False,-1.0,1
MS_early,Liverpool,Bournemouth,5,1.23,10.4,2,10.4,0.5,1,False,-1.0,1
MS_early,A. Villa,Manchester Blue,4,2.92,2.25,1,2.92,0.48,2,False,-1.0,1
MS_early,Brentford,Liverpool,4,2.87,2.11,1,2.87,0.48,2,False,-1.0,1
MS_early,N. Forest,Liverpool,7,3.03,2.17,1,3.03,0.48,2,False,-1.0,1
MS_early,London Blues,Bournemouth,9,1.52,5.43,2,5.43,0.5,1,False,-1.0,1
MS_early,Burnley,C. Palace,9,3.36,2.21,1,3.36,0.48,1,True,2.36,1
MS_early,Bournemouth,West Ham,8,1.97,3.71,1,1.97,0.5,X,False,-1.0,1
MS_early,Sunderland,C. Palace,12,5.99,1.56,1,5.99,0.448,2,False,-1.0,1
MS_early,Everton,London Reds,12,6.22,1.61,1,6.22,0.448,X,False,-1.0,1
FS,Manchester Blue,C. Palace,34,1.29,9.14,2,9.14,1.0,1,False,-1.0,1
